latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
18.375,105.75,4,25200,Asia/Bangkok,7
,,,,,
time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),pressure_msl (hPa),
2024-08-06T18:00,31.6,67,0,1002.9,
2024-08-06T19:00,29.2,75,0,1003.7,
2024-08-06T20:00,28.6,78,0,1004.3,
2024-08-06T21:00,28.2,78,0,1004.9,
2024-08-06T22:00,27.9,77,0,1005.6,
2024-08-06T23:00,27.5,77,0,1005.8,
2024-08-07T00:00,27.1,78,0,1005.3,
2024-08-07T01:00,26.8,78,0,1005.1,
2024-08-07T02:00,26.4,78,0,1004.9,
2024-08-07T03:00,26.1,79,0,1004.8,
2024-08-07T04:00,25.8,79,0,1004.9,
2024-08-07T05:00,25.6,79,0,1005.1,
2024-08-07T06:00,25.9,80,0,1005.8,
2024-08-07T07:00,27.8,74,0,1006.1,
2024-08-07T08:00,29.9,67,0,1006.3,
2024-08-07T09:00,32.1,60,0,1006.4,
2024-08-07T10:00,33.5,55,0,1006.2,
2024-08-07T11:00,34.8,51,0,1005.6,
2024-08-07T12:00,35.9,48,0,1004.5,
2024-08-07T13:00,36.1,48,0,1003.8,
2024-08-07T14:00,36.7,46,0,1003,
2024-08-07T15:00,35.7,49,0,1002.8,
2024-08-07T16:00,31.8,62,0,1002.9,
2024-08-07T17:00,31.9,65,0,1003,
2024-08-07T18:00,30.9,73,0,1003.5,
2024-08-07T19:00,28.8,80,0,1004,
2024-08-07T20:00,28.2,84,0,1004.6,
2024-08-07T21:00,28.1,82,0,1005.3,
2024-08-07T22:00,27.7,80,0,1006,
2024-08-07T23:00,27.2,79,0,1006,
2024-08-08T00:00,26.8,80,0,1005.5,
2024-08-08T01:00,26.6,79,0,1005.2,
2024-08-08T02:00,26.3,80,0,1004.9,
2024-08-08T03:00,26,81,0,1005,
2024-08-08T04:00,25.8,81,0,1005.3,
2024-08-08T05:00,25.7,81,0,1005.4,
2024-08-08T06:00,25.9,82,0,1005.6,
2024-08-08T07:00,27.8,76,0,1006.3,
2024-08-08T08:00,29.9,69,0,1006.5,
2024-08-08T09:00,31.7,63,0,1006.6,
2024-08-08T10:00,33.2,58,0,1006.2,
2024-08-08T11:00,34.5,54,0,1005.6,
2024-08-08T12:00,35.4,51,0,1004.4,
2024-08-08T13:00,36.5,46,0,1003.8,
2024-08-08T14:00,37.7,42,0,1003,
2024-08-08T15:00,37.6,42,0,1002.6,
2024-08-08T16:00,36.7,46,0,1002.5,
2024-08-08T17:00,34.8,58,0,1002.6,
2024-08-08T18:00,32.8,64,0,1003,
2024-08-08T19:00,30.8,66,0,1003.4,
2024-08-08T20:00,29.8,68,0,1004.1,
2024-08-08T21:00,28.9,71,0,1004.7,
2024-08-08T22:00,28.2,73,0,1005.2,
2024-08-08T23:00,27.8,74,0,1005.4,
2024-08-09T00:00,27.4,75,0,1004.8,
2024-08-09T01:00,27,76,0,1004.3,
2024-08-09T02:00,26.7,76,0,1003.8,
2024-08-09T03:00,26.4,77,0,1003.3,
2024-08-09T04:00,26.1,78,0,1003.2,
2024-08-09T05:00,26,78,0,1003.4,
2024-08-09T06:00,26.2,80,0,1003.8,
2024-08-09T07:00,28.2,73,0,1004.3,
2024-08-09T08:00,30.2,67,0,1004.5,
2024-08-09T09:00,32.2,61,0,1004.5,
2024-08-09T10:00,34.1,54,0,1004.3,
2024-08-09T11:00,35.8,49,0,1003.9,
2024-08-09T12:00,37.1,45,0,1003,
2024-08-09T13:00,38.3,42,0,1002.1,
2024-08-09T14:00,39.2,38,0,1001.3,
2024-08-09T15:00,38.9,37,0,1000.6,
